Additional Parts (Not Mouser).  Delete this section for upload to Mouser,,,,,,,,,,,,,,
Reference,Value,Footprint,Datasheet,Comment,Description,EU_RoHS_Compliance,Height,LCSC Part #,Manufacturer_Name,Manufacturer_Part_Number,Modified,Mouser Part Number,Mouser Price/Stock,Qty
HY200,VIDIOT,,,,Video Hybrid,,,,MOS Technology,390229-0x,,,,1
U102,GARY,,,,5719,,,,MOS Technology,318072-01,,,,1
U200,PAULA,,,,8364R7,,,,MOS Technology,252127-02,,,,1
U201,DENISE,,,,8362/8373,,,,MOS Technology,252126-02/390433-02,,,,1
U800,BUSTER,,,,5731,,,,MOS Technology,318075-02,,,,1
"U300, U301",CIA,,,,8520A-1,,,,MOS Technology,391078-0x,,,,2
U500,ROM,,,,27C400,,,,Various,,,,,1
U801,MSM6242,,https://pdf1.alldatasheet.com/datasheet-pdf/download/11259/OKI/MSM6242B.html,,Real Time Clock,,,,OKI,MSM6242,,,,1
,,,,,,,,,,,,,,
Reference,Value,Footprint,Datasheet,Comment,Description,EU_RoHS_Compliance,Height,LCSC Part #,Manufacturer_Name,Manufacturer_Part_Number,Modified,Mouser Part Number,Mouser Price/Stock,Qty
BT800,CR1220,SMD2000_Footprints:S8411-45R_1,https://cdn.harwin.com/pdfs/S8411R.pdf,,,,,C9900008699,Harwin,S8411-45R,,855-S8411-45R,https://www.mouser.co.uk/ProductDetail/Harwin/S8411-45R?qs=Qom7kyPojXY6B0JhnWxDgQ%3D%3D,1
"C101, C222, C223, C402-C406, C408, C412, C420-C422, C471",47 uF,SMD2000_Footprints:EEE0GA101SR,http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,,Cap Aluminum Lytic 47uF 16V 20% (5 X 5.4mm) SMD 39mA 1000h 85C Automotive T/R,,6.5,C178500,Panasonic,EEE-1CA470WAR,,667-EEE-1CA470WAR,https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-1CA470WAR?qs=d1CqaRUMZD%2FiYn4JMv7QWw%3D%3D,14
