Designator,Footprint,Quantity,Value,LCSC Part #
BT800,S8411-45R_1,1,CR1220,C9900008699
"C101, C222, C223, C402, C403, C404, C405, C406, C408, C412, C420, C421, C422, C471",EEE0GA101SR,14,47 uF,C178500
"C102, C103, C104, C105, C106, C107, C108, C1201, C1202, C1203, C1204, C1205, C1251, C200, C202, C203, C205, C206, C230, C234, C240, C244, C300, C301, C302, C303, C305, C351, C360, C450, C451, C600, C601, C602, C603, C604, C605, C607, C800, C802, C803, C804, C805, C812, C815, C900, C901, C903, C906, C909, C910, C915, C916, C918, C919",0805,55,0.1 uF,C123316
"C1206, C233, C243, C813, C814",EEE0GA101SR,5,22 uF,C336455
"C1252, C908, C913",0805,3,47 pF,C2209271
"C201, C219, C220, C221, C500, CE218",0805,6,0.22uF,
"C204, C401, C407, C409, C413, C472, CE310, CE325",0805,8,0.01 uF,
"C210, C211, C212, C213",0805,4,0.047 uF,
"C214, C225, C226, C912",EEE-1EA471UAP,4,470 uF,C336541
"C224, C415, C811",EEE1AA220WR,3,4.7 uF,C336729
"C231, C241, CE230, CE231, CE232, CE233, CE234, CE235, CE236, CE237",0805,10,6800 pF,C597425
"C232, C242",0805,2,3900 pF,C2181318
"C259, C260, C261, C904, C905, C907, C914, C920, CE300, CE301, CE302, CE303, CE304, CE305, CE306, CE307, CE308, CE309, CE326, CE328, CE333, CE335, CE336, CE337, CE338",0805,25,100 pF,C2167403
C350,0805,1,1 uF,C2167382
"C400, C416, C470",EEHZT1E331UP,3,220 uF,C336328
C452,0805,1,4.7 uF,
"C617, C619, C620, C621, C622, C623, C624, C625, C626, C627, C628, C629, C630, C631, C632, C633, C635, C637, C639, C641, C645, C647, C649, C650, C651, C652, C654, C655, C657, C658, C659, C660, C661, C662, C663, C664, C665, C666, C667, C668, C669, C670, C671, C672, C673, C674, C678",0805,47,1000 pF,C2167121
C810,0805,1,18 pF,C2209310
"CE238, CE239, CE240, CE241, CE242, CE243, CE327, CE329, CE330, CE331",0805,10,470 pF,
CN101,PinHeader_2x40_P2.54mm_Vertical,1,AGNUS BOARD,
CN1201,1563315E,1,15 Pin Video,
CN1202,PinHeader_1x08_P2.54mm_Vertical,1,ANALOGUE VIDEO,
CN1250,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry Pi Zero,
"CN1251, CN1252",PinHeader_1x02_P2.54mm_Vertical,2,PI BTN,
CN201,L717SDE09PA4CH3F,1,MOUSE,
CN204,RCJ2221,1,AUDIO,C4991581
CN250,PinHeader_2x05_P2.54mm_Vertical_Top_Bottom,1,JOYSTICK,
CN251,PinHeader_2x05_P2.54mm_Vertical_Top_Bottom,1,MOUSE,
CN300,SDF50J,1,KEYBOARD,
CN301,PinHeader_2x13_P2.54mm_Vertical,1,PARALLEL,
CN303,PinHeader_2x17_P2.54mm_Vertical,1,FLOPPY,
CN305,L717SDE09PA4CH3F,1,SERIAL,
CN306,PinHeader_1x03_P2.54mm_Vertical,1,POWER LED,
CN350,PinHeader_1x08_P2.54mm_Vertical,1,A500KBD,
CN400,44206-0007_1,1,POWER,
CN450,PinHeader_1x03_P2.54mm_Vertical,1,POWERSW,
"CN451, CN452, CN453",PinHeader_1x03_P2.54mm_Vertical,3,3.3 v,
"CN519, CN520",PinHeader_1x02_P2.54mm_Vertical,2,A19_ROMSW,
CN600,TE_1-5530843-0,1,CPU Card,C4693071
CN601,TE_5645235-3,1,Zorro,C4659716
CN606,PinHeader_1x04_P2.54mm_Vertical,1,IPL,
CN650,PinHeader_1x07_P2.54mm_Vertical,1,CPU_EXT,
CN950,PinHeader_1x04_P2.54mm_Vertical,1,FLOPPY_EXT,
"D300, D353, D800, D801, D802",SODFL2512X90N,5,1N4148WS,C118873
D360,LEDC2012X80N,1,BLUE,C9900019499
D803,SOD2513X120N,1,BAT54WS,C124205
"EMI200, EMI229",W2H11A10184T1F,2,100 pF,
"FB102, FB1201, FB1202, FB1203, FB1204, FB1205, FB301, FB302, FB303, FB401, FB907",1206,11,FB,C6401928
HY200,PinHeader_1x22_P2.54mm_Vertical,1,VIDIOT,
J301,PinHeader_1x02_P2.54mm_Vertical,1,DF1:,
