Designator,Mid X,Mid Y,Rotation,Layer
BT800,267.138,-172.981,0.0,top
C101,210.49,-114.88,90.0,top
C102,239.649,-168.656,0.0,bottom
C103,188.6204,-176.276,180.0,top
C104,188.6204,-192.786,180.0,top
C105,206.121,-176.53,180.0,top
C106,206.502,-192.437685,180.0,top
C107,231.775,-213.868,180.0,bottom
C108,213.4616,-218.7702,90.0,top
C1201,285.623,-93.726,0.0,bottom
C1202,280.924,-104.394,0.0,top
C1203,280.797,-127.0,0.0,top
C1204,284.988,-140.081,0.0,bottom
C1205,280.797,-117.094,0.0,bottom
C1206,282.505,-147.115,270.0,top
C1251,263.017,-111.887,180.0,bottom
C1252,284.861,-127.0,180.0,top
C200,235.5342,-161.0614,0.0,bottom
C201,248.92,-137.922,90.0,bottom
C202,222.307,-101.141,270.0,bottom
C203,195.9102,-222.9612,180.0,top
C204,238.817,-96.7175,270.0,bottom
C205,255.524,-117.856,180.0,bottom
C206,256.159,-140.462,180.0,bottom
C210,237.871,-112.649,0.0,bottom
C211,237.871,-114.681,0.0,bottom
C212,237.871,-110.617,0.0,bottom
C213,237.871,-108.585,0.0,bottom
C214,254.565,-89.33,90.0,top
C219,237.871,-106.553,180.0,bottom
C220,236.785,-96.7175,270.0,bottom
C221,252.025,-91.997,0.0,bottom
C222,232.975,-96.315,0.0,top
C223,242.745,-96.315,0.0,top
C224,227.514,-89.33,180.0,top
C225,253.295,-166.705,180.0,top
C226,278.695,-159.815,90.0,top
C230,245.491,-96.7175,270.0,bottom
C231,248.215,-81.075,0.0,bottom
C232,242.5,-82.345,90.0,bottom
C233,243.135,-88.06,270.0,top
C234,254.565,-80.44,90.0,top
C240,241.357,-96.7175,270.0,bottom
C241,235.966,-82.296,90.0,bottom
C242,239.96,-82.345,90.0,bottom
C243,235.769,-88.06,270.0,top
C244,243.135,-80.44,270.0,top
C259,197.923,-86.79,270.0,bottom
C260,169.348,-86.663,270.0,bottom
C261,176.968,-86.663,270.0,bottom
C300,196.018,-169.975,180.0,bottom
C301,173.285,-169.975,180.0,bottom
C302,194.818,-121.158,270.0,bottom
C303,189.23,-220.599,0.0,bottom
C305,155.067,-98.855,0.0,top
C350,256.851,-232.586,270.0,bottom
C351,252.0696,-228.6508,0.0,bottom
C360,149.987,-232.283,90.0,bottom
C400,273.615,-222.68,270.0,top
C401,265.995,-218.48,0.0,top
C402,264.725,-224.035,90.0,top
C403,193.7004,-109.982,270.0,top
C404,106.934,-230.9876,0.0,top
